Wall time,Step,Value
1694302992.0411158,18,15293.8046875
1694302992.4697607,47,15237.27734375
1694302992.6907835,62,15207.931640625
1694302993.0915785,89,15154.8681640625
1694302993.298777,103,15127.2314453125
1694302993.3573725,107,15119.3671875
1694302993.6678247,128,15077.787109375
1694302994.2023058,164,15006.013671875
1694302994.3209083,172,14989.9892578125
1694302995.3876164,244,14844.3310546875
1694302995.6120522,259,14813.6318359375
1694302995.9523165,282,14766.302734375
1694302997.5020132,386,14548.1064453125
1694302997.7471921,402,14513.8984375
1694302997.9439964,415,14485.916015625
1694302998.2624207,437,14438.1943359375
1694302998.6710234,465,14376.8583984375
1694302998.8182838,475,14354.787109375
1694302998.9052672,481,14341.4609375
1694302999.331735,510,14276.845703125
1694302999.6637354,533,14225.083984375
1694302999.738717,538,14213.740234375
1694302999.7682207,540,14209.2294921875
1694303000.0005531,556,14172.826171875
1694303000.5753553,596,14080.9501953125
1694303001.166235,637,13985.416015625
1694303001.2550051,643,13971.3515625
1694303001.2701266,644,13968.9892578125
1694303001.4719384,658,13935.943359375
1694303001.716613,675,13895.6123046875
1694303002.9990242,764,13680.685546875
1694303003.1587546,775,13653.66796875
1694303003.571119,804,13581.9736328125
1694303004.4761236,866,13426.314453125
1694303004.774494,886,13375.48046875
1694303006.6641142,1015,13039.236328125
1694303006.8230238,1026,13009.8671875
1694303006.9809406,1037,12980.5
1694303007.4732735,1071,12888.8828125
1694303008.046647,1111,12779.8359375
1694303008.246565,1125,12741.38671875
1694303008.3457081,1132,12722.0751953125
1694303008.6306882,1152,12666.673828125
1694303008.8018947,1164,12633.26953125
1694303008.9752023,1176,12599.7861328125
1694303009.0911033,1184,12577.361328125
1694303009.587301,1218,12481.5244140625
1694303010.0721655,1252,12384.7109375
1694303010.1007075,1254,12378.9814453125
1694303010.2871046,1267,12341.6904296875
1694303010.3427596,1271,12330.1396484375
1694303011.8865252,1376,12023.298828125
1694303012.490654,1417,11900.8994140625
1694303013.0732527,1457,11780.1611328125
1694303013.0874655,1458,11777.1181640625
1694303013.6156125,1494,11667.2626953125
1694303013.8504188,1510,11618.1015625
1694303013.892809,1513,11608.84765625
1694303014.4054196,1548,11500.4658203125
1694303014.4468925,1551,11491.1064453125
1694303014.6512609,1565,11447.40625
1694303015.5564535,1627,11251.9384765625
1694303015.6718721,1635,11226.50390625
1694303016.1774983,1670,11114.4755859375
1694303016.630708,1702,11011.146484375
