Wall time,Step,Value
1694331913.1077554,4730,47.63587951660156
1694331917.9389179,4777,37.08391189575195
1694331923.051884,4832,28.621299743652344
1694331923.3211493,4835,28.252456665039062
1694331923.409331,4836,28.13148307800293
1694331924.1251714,4844,27.194969177246094
1694331927.5072532,4882,23.44178581237793
1694331930.0111928,4910,21.289146423339844
1694331931.703296,4929,20.067216873168945
1694331933.5043983,4949,18.9572811126709
1694331936.2763336,4980,17.537260055541992
1694331945.3345737,5079,14.716076850891113
1694331946.2438185,5088,14.551050186157227
1694331946.4198694,5090,14.515920639038086
1694331950.2957382,5132,13.892624855041504
1694331950.6577542,5136,13.843340873718262
1694331952.0,5151,13.672006607055664
1694331952.3617585,5155,13.629703521728516
1694331955.221504,5187,13.336214065551758
1694331956.3912988,5200,13.237156867980957
1694331958.6374977,5225,13.07404899597168
1694331959.804536,5238,13.001678466796875
1694331961.13358,5253,12.927348136901855
1694331961.9260917,5262,12.886994361877441
1694331964.9002123,5295,12.76284408569336
1694331966.988344,5319,12.692084312438965
1694331967.2515411,5322,12.684206008911133
1694331970.7339065,5362,12.59653377532959
1694331971.4278529,5370,12.582321166992188
1694331974.2896922,5403,12.532986640930176
1694331978.43633,5445,12.487136840820312
1694331979.2203524,5454,12.479202270507812
1694331983.9831278,5509,12.441372871398926
1694331997.3308556,5667,12.385714530944824
1694332002.5942,5730,12.37205982208252
1694332004.9057152,5758,12.366508483886719
1694332006.810922,5781,12.362052917480469
1694332011.0237415,5832,12.352468490600586
1694332013.8215764,5866,12.346168518066406
1694332014.8886988,5879,12.343780517578125
1694332021.2512853,5956,12.329444885253906
1694332023.3315656,5981,12.324725151062012
1694332025.06494,5997,12.321672439575195
1694332026.141454,6009,12.31938362121582
1694332030.3106987,6053,12.310876846313477
1694332035.2935772,6111,12.299393653869629
1694332037.764111,6138,12.293975830078125
1694332038.18646,6142,12.293147087097168
1694332044.9541821,6225,12.275983810424805
1694332046.463656,6243,12.272183418273926
1694332049.528586,6279,12.264464378356934
1694332054.2589993,6332,12.252801895141602
1694332054.4231243,6334,12.252376556396484
1694332056.5586154,6358,12.247045516967773
1694332056.6441426,6359,12.246794700622559
1694332057.0572999,6364,12.245685577392578
1694332057.4813557,6369,12.244569778442383
1694332071.840916,6528,12.207277297973633
