Wall time,Step,Value
1694302185.4683917,18,15293.7666015625
1694302186.0466926,47,15237.1630859375
1694302186.3422623,62,15207.75
1694302186.8833976,89,15154.54296875
1694302187.1601932,103,15126.892578125
1694302187.2379348,107,15118.94921875
1694302187.6666856,128,15077.1513671875
1694302188.3799143,164,15005.0400390625
1694302188.5339794,172,14988.9404296875
1694302189.8678708,244,14842.0498046875
1694302190.1594815,259,14810.9609375
1694302190.6016963,282,14763.1201171875
1694302192.6306684,386,14542.0302734375
1694302192.933928,402,14507.3349609375
1694302193.1852322,415,14479.0107421875
1694302193.629695,437,14430.7734375
1694302194.1760855,465,14368.8974609375
1694302194.3722248,475,14346.6318359375
1694302194.4917767,481,14333.21875
1694302195.0506983,510,14268.1806640625
1694302195.5075889,533,14216.162109375
1694302195.5973225,538,14204.7470703125
1694302195.637472,540,14200.23828125
1694302195.9489257,556,14163.7275390625
1694302196.697086,596,14071.576171875
1694302197.4460354,637,13975.84765625
1694302197.5535336,643,13961.73046875
1694302197.5731075,644,13959.326171875
1694302197.824086,658,13926.3037109375
1694302198.1340652,675,13885.94921875
1694302199.7956867,764,13671.1318359375
1694302199.9995277,775,13644.1083984375
1694302200.5245383,804,13572.45703125
1694302201.7313592,866,13417.146484375
1694302202.1050017,886,13366.306640625
1694302204.4921827,1015,13030.791015625
1694302204.6910748,1026,13001.53125
1694302204.8889058,1037,12972.1953125
1694302205.5470843,1071,12880.8212890625
1694302206.3098495,1111,12771.9482421875
1694302206.5624301,1125,12733.583984375
1694302206.6908543,1132,12714.3408203125
1694302207.0914772,1152,12659.07421875
1694302207.3164413,1164,12625.76953125
1694302207.5355282,1176,12592.3115234375
1694302207.6812983,1184,12569.978515625
1694302208.3069625,1218,12474.3134765625
1694302208.9678023,1252,12377.6708984375
1694302209.0083747,1254,12372.00390625
1694302209.2666953,1267,12334.748046875
1694302209.3454933,1271,12323.25
1694302211.3419838,1376,12016.9267578125
1694302212.091937,1417,11894.748046875
1694302212.815377,1457,11774.1591796875
1694302212.8342154,1458,11771.1142578125
1694302213.4807608,1494,11661.388671875
1694302213.7670257,1510,11612.265625
1694302213.820855,1513,11603.03515625
1694302214.4449284,1548,11494.7373046875
1694302214.4991283,1551,11485.396484375
1694302214.7585247,1565,11441.7509765625
1694302215.9005816,1627,11246.4482421875
1694302216.0451694,1635,11220.9990234375
1694302216.6735182,1670,11109.0341796875
1694302217.248683,1702,11005.7900390625
1694302217.4110923,1711,10976.572265625
1694302219.8575814,1847,10526.849609375
1694302220.0892103,1860,10482.96484375
1694302220.7818074,1899,10350.64453125
1694302220.9602883,1909,10316.4677734375
1694302221.5138364,1940,10209.998046875
1694302221.870301,1960,10140.9375
1694302221.8886483,1961,10137.482421875
1694302223.8186045,2070,9754.6103515625
1694302223.976716,2079,9722.53515625
1694302224.1529818,2089,9686.794921875
1694302224.3458586,2100,9647.365234375
1694302226.2764683,2209,9250.966796875
1694302228.220549,2319,8839.94921875
1694302228.9263225,2359,8687.703125
1694302230.285696,2436,8390.3935546875
1694302230.3739312,2441,8370.9150390625
1694302230.6042528,2454,8320.1298828125
1694302230.7429056,2462,8288.7939453125
1694302230.793271,2465,8277.017578125
1694302231.14373,2485,8198.349609375
1694302231.4620163,2503,8127.18359375
1694302231.7073588,2517,8071.66552734375
1694302232.7650008,2577,7831.54443359375
1694302232.7818918,2578,7827.521484375
1694302233.1463044,2599,7742.66162109375
1694302233.6354046,2627,7628.87158203125
1694302233.7730985,2635,7596.2099609375
1694302233.913436,2643,7563.513671875
1694302234.6243668,2684,7394.95361328125
1694302234.7808805,2693,7357.74658203125
1694302235.0414472,2708,7295.580078125
1694302235.1949291,2717,7258.189453125
1694302235.8221467,2753,7107.8134765625
1694302235.8402305,2754,7103.615234375
1694302236.0812073,2768,7044.8125
1694302236.377335,2785,6973.18798828125
1694302236.8422556,2812,6858.884765625
1694302237.3959913,2844,6722.62646484375
1694302237.6892486,2861,6649.88427734375
1694302239.5992265,2973,6164.818359375
1694302241.445391,3083,5679.58642578125
1694302241.461838,3084,5675.1328125
1694302241.7899513,3104,5586.10498046875
1694302241.8036027,3105,5581.64697265625
1694302242.046254,3120,5514.71142578125
1694302242.4567256,3145,5402.880859375
1694302243.3453767,3199,5160.341796875
1694302243.639256,3217,5079.251953125
1694302244.0314894,3241,4970.92724609375
1694302244.4236302,3265,4862.43994140625
1694302244.474951,3268,4848.87548828125
1694302245.9167764,3356,4450.13134765625
1694302246.6938367,3404,4232.5029296875
1694302247.6132648,3461,3974.42138671875
1694302247.9670293,3483,3874.9921875
1694302248.096221,3491,3838.874755859375
1694302248.245776,3500,3798.24609375
1694302248.6611063,3526,3681.0400390625
1694302249.3171883,3566,3501.2080078125
1694302249.3649197,3569,3487.75537109375
1694302249.8658044,3600,3348.87890625
1694302250.1216867,3616,3277.370849609375
1694302250.7247863,3654,3108.126220703125
1694302250.7732148,3657,3094.807373046875
1694302250.8354547,3661,3077.037841796875
1694302250.947495,3668,3045.97998046875
1694302250.9944582,3671,3032.69921875
1694302251.2942188,3690,2948.607421875
1694302251.6422968,3712,2851.5615234375
1694302252.4134705,3761,2636.88525390625
1694302252.7479744,3782,2545.550048828125
1694302253.7800207,3848,2261.8349609375
1694302253.8086243,3850,2253.326416015625
1694302254.6179755,3902,2034.2286376953125
1694302254.8270388,3915,1980.173583984375
1694302255.113379,3933,1905.8389892578125
1694302255.7576873,3975,1735.015625
1694302256.3214145,4012,1587.9716796875
1694302256.4872856,4023,1544.9547119140625
1694302257.4057467,4084,1313.0052490234375
1694302257.7807152,4109,1221.5697021484375
1694302257.9601743,4121,1178.51318359375
